rating_position,school_name,okrug,district,address,top_50,location
1,Школа № 1502 «Энергия»,Восточный,Ивановское,Россия. город Москва. улица Молостовых. дом 10А,T,POINT(37.83043 55.76068)
2,Школа № 444,Восточный,Измайлово,Россия. город Москва. 8-я Парковая улица. дом 9,T,POINT(37.79646 55.79134)
3,Школа № 2036,Восточный,"Косино 
Ухтомский",Россия. город Москва. улица Татьяны Макаровой. дом 2,T,POINT(37.88700 55.71049)
4,Гимназия № 1543,Западный,"Тропарёво 
Никулино",Россия. город Москва. улица 26 Бакинских комиссаров. дом 3. корп. 5,T,POINT(37.48615 55.65608)
5,Школа № 2070,Новомосковский Коммунарка,,Россия. город Москва. поселок Коммунарка. улица Липовый Парк. дом 5А,T,POINT(37.49380 55.56751)
6,Школа «ЛЕТОВО»,Новомосковский Коммунарка,,Россия. город Москва. поселение Сосенское. улица Зименковская. дом 3,T,POINT(37.53305 55.66587)
7,Школа № 1568 им. Пабло Неруды,"Северо 
Восточный","Южное 
Медведково",Россия. город Москва. проезд Шокальского. дом 11. корп. 3,T,POINT(37.64155 55.87427)
8,Курчатовская школа,Северо Западный,Щукино,Россия. город Москва. улица Маршала Конева. дом 10,T,POINT(37.48846 55.79718)
9,Лицей НИУ ВШЭ,Центральный,Басманный,Россия. город Москва. Лялин переулок. дом 3А,T,POINT(37.65235 55.76083)
10,Школа № 1501,Центральный,Тверской,Россия. город Москва. Тихвинский переулок. дом 3,T,POINT(37.59577 55.78776)
11,Школа № 179,Центральный,Тверской,Россия. город Москва. улица Большая Дмитровка. дом 5/6. стр. 7,T,POINT(37.61471 55.75967)
12,Пятьдесят седьмая школа,Центральный,Хамовники,Россия. город Москва. Малый Знаменский переулок. дом 7/10. стр. 5,T,POINT(37.60491 55.74868)
13,Школа № 1535,Центральный,Хамовники,Россия. город Москва. улица Усачёва. дом 50,T,POINT(37.56479 55.72591)
14,Школа ЦПМ,Центральный,Хамовники,Россия. город Москва. Олимпийский проспект. дом 11. стр. 1,T,POINT(37.62169 55.79064)
15,Школа № 1363,Юго-Восточный,"Выхино 
Жулебино",Россия. город Москва. Ферганская улица. дом 7,T,POINT(37.80519 55.71171)
16,Школа им. Маршала В.И. Чуйкова,Юго-Восточный,Кузьминки,Россия. город Москва. Зеленодольская улица. дом 32. корп. 6,T,POINT(37.76687 55.71162)
17,Лицей «Вторая школа» им. Овчинникова,Юго-Западный,Гагаринский,Россия. город Москва. улица Фотиевой. дом 18,T,POINT(37.55632 55.69799)
18,Школа № 2007 ФМШ,Юго-Западный,Южное Бутово,Россия. город Москва. улица Горчакова. дом 9. корп. 1,T,POINT(37.53276 55.54475)
19,Бауманская инженерная школа № 1580,Южный,Нагорный,Россия. город Москва. Балаклавский проспект. дом 6А,T,POINT(37.61300 55.64149)
20,Школа № 548 «Царицыно»,Южный,"Орехово 
Борисово Южное",Россия. город Москва. улица Маршала Захарова. дом 8. корп. 1,T,POINT(37.70202 55.62353)
21,Школа № 1504,Восточный,Ивановское,Россия. город Москва. улица Саянская. дом 13,T,POINT(37.82357 55.76820)
22,Школа № 2127,Восточный,Новокосино,Россия. город Москва. Салтыковская улица. дом 13Б,T,POINT(37.86329 55.73779)
23,Школа № 67,Западный,Дорогомилово,Россия. город Москва. Кутузовский проспект. дом 10,T,POINT(37.55889 55.74868)
24,Школа «Технологии обучения»,Западный,Дорогомилово,Россия. город Москва. Резервный проезд. дом 10,T,POINT(37.55009 55.74115)
25,Шуваловская школа № 1448,Западный,Раменки,Россия. город Москва. Мичуринский проспект. дом 5. корп. 1,T,POINT(37.51260 55.70248)
26,СУНЦ МГУ (школа им. Колмогорова),Западный,Раменки,Россия. город Москва. Кременчугская улица. дом 11,T,POINT(37.46429 55.71947)
27,Университетская гимназия МГУ,Западный,Раменки,Россия. город Москва. Ломоносовский проспект. дом 27. корп. 11,T,POINT(37.52045 55.70059)
28,Школа № 1542,Западный,Солнцево,Россия. город Москва. улица Авиаторов. дом 28,T,POINT(37.40825 55.64242)
29,Школа на проспекте Вернадского,Западный,"Тропарёво 
Никулино",Россия. город Москва. проспект Вернадского. дом 127. корп. 2,T,POINT(37.48359 55.65353)
30,Школа № 1317,Западный,"Тропарёво 
Никулино",Россия. город Москва. улица Академика Анохина. дом 4. корп. 5,T,POINT(37.47042 55.67137)
31,Школа № 1329,Западный,"Тропарёво 
Никулино",Россия. город Москва. улица Никулинская. дом 10,T,POINT(37.46427 55.66547)
32,Образовательный центр «Протон»,Западный,Филевский парк,Россия. город Москва. Большая Филёвская улица. дом 15,T,POINT(37.49849 55.74756)
33,Школа № 1194,Зеленоградский,Крюково,Россия. город Москва. г. Зеленоград. корпус 1530,T,POINT(37.15632 55.98199)
34,Школа № 1557 имени П.Л. Капицы,Зеленоградский,Савелки,Россия. город Москва. г. Зеленоград. корпус 369,T,POINT(37.18291 55.97803)
35,Школа № 2083,Новомосковский Щербинка,,Россия. город Москва. поселение Рязановское. улица Знамя Октября. дом 40,T,POINT(37.53918 55.47698)
36,Школа № 152,Северный,Аэропорт,Россия. город Москва. 1-я Аэропортовская улица. дом 1,T,POINT(37.53504 55.80042)
37,Школа № 1575,Северный,Аэропорт,Россия. город Москва. улица Планетная. дом 33,T,POINT(37.54337 55.80346)
38,Школа № 2098 имени Л.М. Доватора,Северный,"Западное 
Дегунино",Россия. город Москва. Ангарская улица. дом 22А,T,POINT(37.51926 55.87431)
39,Школа № 1252 имени Сервантеса,Северный,Сокол,Россия. город Москва. улица Дубосековская. дом 3,T,POINT(37.49643 55.80999)
40,Школа № 218,Северный,Тимирязевский,Россия. город Москва. Дмитровское шоссе. дом 5А,T,POINT(37.57520 55.81217)
41,Школа № 1474,Северный,Ховрино,Россия. город Москва. Клинская улица. дом 22,T,POINT(37.49029 55.87164)
42,Пансион воспитанниц МО РФ,Северный,Хорошевский,Россия. город Москва. улица Поликарпова. дом 21,T,POINT(37.54422 55.77471)
43,Лицей Финансового университета,Северный,Хорошевский,Россия. город Москва. Ленинградский проспект. дом 51. корп. 4,T,POINT(37.52678 55.80086)
44,Школа № 1558 имени Росалии де Кастро,"Северо 
Восточный",Бабушкинский,Россия. город Москва. улица Ленская. дом 28. корп. 1,T,POINT(37.65436 55.86891)
