fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,telephone,email
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1439, ГБОУ детский сад № 1439, 1439, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," ""127273 г. Москва, ул. Отрадная, д. 5 ""Б""",(499) 907-63-66, detsad1439@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 938, ГБОУ детский сад № 938, 938, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127349, город Москва, улица Лескова, дом 6 Г",(499) 909-00-44, detskiysad938@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1243, ГБОУ детский сад № 1243, 1243, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Западное окружное управление образования," 119333, г. Москва, ул. Фотиевой, дом 8",8(499)137-35-75, dou1243@ou.mosuzedu.ru; tngulakova@bk.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1432, ГБОУ детский сад № 1432, 1432, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 119331, г.Москва, улица Марии Ульяновой, дом 17, корпус 1",8(499)138-38-47, dou1432@ou.mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 824, ГБОУ детский сад № 824, 824, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121615, г.Москва, ул. Ельнинская, д. 16",(499) 141-75-87, dou824@bk.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2703, ГБОУ детский сад № 2703, 2703, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127495 город Москва, Дмитровское шоссе, д.165Е, корпус 13",(499) 661-32-73, dou.2703@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2435, ГБОУ детский сад № 2435, 2435, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117628, г.Москва, ул. Грина, дом 36, корпус 1",(495) 714 96 13, skazka2435@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1041, ГБОУ детский сад № 1041, 1041, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107150, г. Москва, Погонный проезд, д.27",(499) 169-43-51, rocinka1041@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2698, ГБОУ детский сад № 2698, 2698, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119501 г.Москва, ул. Матвеевская, д. 4, корп. 5",(499) 233-02-72, det2698@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2730, ГБОУ детский сад № 2730, 2730, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125057, Лениградский проспект, д. 75Д",(499) 198-12-90, gbou-ds.2730@yandex.ru
