"id","fullname","shortname","number","category","vid_uchrezhdeniya","organiz_pravov_forma","podchinenie","address","telephone","email","location"
1, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1439, ГБОУ детский сад № 1439,"1 439", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," ""127273 г. Москва, ул. Отрадная, д. 5 ""Б""",(499) 907-63-66, detsad1439@mail.ru,POINT (37.6076187 55.8591187)
2, Государственное бюджетное образовательное учреждение города Москвы детский сад № 938, ГБОУ детский сад № 938,"938", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127349, город Москва, улица Лескова, дом 6 Г",(499) 909-00-44, detskiysad938@yandex.ru,POINT (37.5925685 55.8970746)
3, Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1243, ГБОУ детский сад № 1243,"1 243", Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Западное окружное управление образования," 119333, г. Москва, ул. Фотиевой, дом 8","8(499)137-35-75", dou1243@ou.mosuzedu.ru; tngulakova@bk.ru,POINT (37.5623493 55.70100369999999)
4, Государственное бюджетное образовательное учреждение города Москвы детский сад № 1432, ГБОУ детский сад № 1432,"1 432", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 119331, г.Москва, улица Марии Ульяновой, дом 17, корпус 1","8(499)138-38-47", dou1432@ou.mosuzedu.ru,POINT (37.5203819 55.680765)
5, Государственное бюджетное образовательное учреждение города Москвы детский сад № 824, ГБОУ детский сад № 824,"824", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121615, г.Москва, ул. Ельнинская, д. 16",(499) 141-75-87, dou824@bk.ru,POINT (37.4240156 55.7386473)
6, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2703, ГБОУ детский сад № 2703,"2 703", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127495 город Москва, Дмитровское шоссе, д.165Е, корпус 13",(499) 661-32-73, dou.2703@yandex.ru,POINT (37.5439964 55.9280822)
7, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2435, ГБОУ детский сад № 2435,"2 435", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117628, г.Москва, ул. Грина, дом 36, корпус 1",(495) 714 96 13, skazka2435@mosuzedu.ru,POINT (37.56731440000001 55.5694205)
8, Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1041, ГБОУ детский сад № 1041,"1 041", Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107150, г. Москва, Погонный проезд, д.27",(499) 169-43-51, rocinka1041@mail.ru,POINT (37.7170561 55.8184477)
9, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2698, ГБОУ детский сад № 2698,"2 698", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119501 г.Москва, ул. Матвеевская, д. 4, корп. 5",(499) 233-02-72, det2698@yandex.ru,POINT (37.4727983 55.7062651)
10, Государственное бюджетное образовательное учреждение города Москвы детский сад № 2730, ГБОУ детский сад № 2730,"2 730", Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125057, Лениградский проспект, д. 75Д",(499) 198-12-90, gbou-ds.2730@yandex.ru,POINT (37.5122287 55.805059)
11, Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1626, ГБОУ детский сад № 1626,"1 626", Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127562, город Москва, улица Санникова, дом 5, корпус 2",(499) 201-30-00, Sch1626@yandex.ru,POINT (37.5938116 55.8610897)
