fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,Latitude,Longitude,telephone,email
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1439, ГБОУ детский сад № 1439,1 439, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Северо-Восточное окружное управление образования," ""127273 г. Москва, ул. Отрадная, д. 5 ""Б""",55.8591187,37.6076187,(499) 907-63-66, detsad1439@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 938, ГБОУ детский сад № 938,938, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127349, город Москва, улица Лескова, дом 6 Г",55.8970746,37.5925685,(499) 909-00-44, detskiysad938@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1243, ГБОУ детский сад № 1243,1 243, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Западное окружное управление образования," 119333, г. Москва, ул. Фотиевой, дом 8",55.70100369999999,37.5623493,8(499)137-35-75, dou1243@ou.mosuzedu.ru; tngulakova@bk.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1432, ГБОУ детский сад № 1432,1 432, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 119331, г.Москва, улица Марии Ульяновой, дом 17, корпус 1",55.680765,37.5203819,8(499)138-38-47, dou1432@ou.mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 824, ГБОУ детский сад № 824,824, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121615, г.Москва, ул. Ельнинская, д. 16",55.7386473,37.4240156,(499) 141-75-87, dou824@bk.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2703, ГБОУ детский сад № 2703,2 703, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 127495 город Москва, Дмитровское шоссе, д.165Е, корпус 13",55.9280822,37.5439964,(499) 661-32-73, dou.2703@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2435, ГБОУ детский сад № 2435,2 435, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117628, г.Москва, ул. Грина, дом 36, корпус 1",55.5694205,37.56731440000001,(495) 714 96 13, skazka2435@mosuzedu.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1041, ГБОУ детский сад № 1041,1 041, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107150, г. Москва, Погонный проезд, д.27",55.8184477,37.7170561,(499) 169-43-51, rocinka1041@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2698, ГБОУ детский сад № 2698,2 698, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 119501 г.Москва, ул. Матвеевская, д. 4, корп. 5",55.7062651,37.4727983,(499) 233-02-72, det2698@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2730, ГБОУ детский сад № 2730,2 730, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125057, Лениградский проспект, д. 75Д",55.805059,37.5122287,(499) 198-12-90, gbou-ds.2730@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1626, ГБОУ детский сад № 1626,1 626, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северо-Восточное окружное управление образования," 127562, город Москва, улица Санникова, дом 5, корпус 2",55.8610897,37.5938116,(499) 201-30-00, Sch1626@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 796, ГБОУ детский сад № 796,796, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Западное окружное управление образования," 117321, г.Москва, улица Профсоюзная, дом 152А",55.6236194,37.5020266,8-495-338-27-00, DOU796@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад присмотра и оздоровления № 403, ГБОУ детский сад № 403,403, Дошкольное образовательное учреждение, Детский сад присмотра и оздоровления, Бюджетное, Северо-Восточное окружное управление образования," 127081, г. Москва, ул. Полярная, д. 7, кор. 3",55.873379,37.6316464,(499) 477-25-98, ds403@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 295, ГБОУ детский сад № 295,295, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 115035, г. Москва, ул.Садовническая, д. 73, стр. 24",55.736266,37.643803,(495) 951-54-65, d-s295@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 160, ГБОУ детский сад № 160,160, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121248 г. Москва, Кутузовский проспект, д. 13",55.7477751,37.5591045,(499) 243-61-20, dou160@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1611, ГБОУ детский сад № 1611,1 611, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125635, г. Москва, улица Талдомская, дом 2Е",55.8708314,37.520135,(499) 906-82-44, abramovagou1611@yandex.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2718, ГБОУ детский сад № 2718,2 718, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 127055 город Москва Тихвинский переулок д. 16, стр.1",55.78724099999999,37.5997048,(499) 250-18-95, detsad_2718@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 900, ГБОУ детский сад № 900,900, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117535 г.Москва, Россошанский пр-д, д.5 А",55.5990284,37.6099277,(495) 382-82-72, dou900@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 916, ГБОУ детский сад № 916,916, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Южное окружное управление образования," 117545 г.Москва, ул.Подольских курсантов, д.8а",55.6053662,37.6147452,(495) 381-85-28, dou916@sinergi.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 15, ГБОУ детский сад № 15, 15, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129337, город Москва, Ярославское шоссе, дом 8, корпус 4",55.85266319999999,37.6872969,(499) 183-27-29, gbou15@mail.ru
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 2278, ГБОУ детский сад № 2278,2 278, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Юго-Восточное окружное управление образования," 109153, г.Москва, ул. Моршанская, д.2, к. 2",55.697177,37.856526,(495) 705-00-01, galina-2278@mail.ru; www.detsad2278.ru
