fullname,shortname,number,category,vid_uchrezhdeniya,organiz_pravov_forma,podchinenie,address,telephone,email,location
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1264, ГБОУ детский сад № 1264,1 264, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 115432, г.Москва, ул. Трофимова,д.11",(495) 679-06-67, d_c1264@mail.ru; d_c1264_1@mail.ru; d-c1264@yandex.ru,POINT(37.6689089 55.7033346)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2642, ГБОУ детский сад № 2642,2 642, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северное окружное управление образования," 125299, г. Москва, ул. Клары Цеткин, д. 15Б",(495) 601-46-94, detsad2642@mail.ru,POINT(37.5169885 55.8205021)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №2198, ГБОУ детский сад № 2198,2 198, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 107113, г. Москва, Поперечный просек д. 1А",(499) 269-89-82, gou.ds2198@gmail.com,POINT(37.6560889 55.7949863)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 813, ГБОУ детский сад № 813,813, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111402, г. Москва, ул. Кетчерская, д.6А",(495) 375-77-30, detskij-sad-813@mail.ru,POINT(37.8237126 55.7426839)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 283, ГБОУ детский сад № 283,283, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 105484,г. Москва, 13-я Парковая ул.,д.30",(495) 468-54-28, dc283@yandex.ru,POINT(37.814724 55.806057)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 253, ГБОУ детский сад №253,253, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127486, г. Москва, улица Дегунинская, дом 24",(499) 905-82-77, tolmazova802@yandex.ru,POINT(37.5322975 55.8681862)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 2140, ГБОУ детский сад № 2140,2 140, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Северо-Восточное окружное управление образования," 129164, город Москва, улица Маломосковская, дом 7, корпус 1",(495) 683-11-72, dsad2140@yandex.ru,POINT(37.6443193 55.8139097)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 6, ГБОУ детский сад № 6, 6, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Центральное окружное управление образования," 105066 Москва, улица Новорязанская, д.32",(499) 261-65-02, tatmi1953@mail.ru; detdom_29@mail.ru,POINT(37.6684986 55.7714484)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 73, ГБОУ детский сад № 73, 73, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 111401, г.Москва, 3-я Владимирская ул. д. 14",(495) 306-63-54, douds73@rambler.ru,POINT(37.7856952 55.7597094)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2387, ГБОУ детский сад № 2387,2 387, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Северное окружное управление образования," 127015, город Москва, улица Нижняя Масловка, дом 5, корпус 4",(499) 257-78-35, detsk.2387@yandex.ru; detsad1048@yandex.ru,POINT(37.5837077 55.7908273)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1551, ГБОУ детский сад № 1551,1 551, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Восточное окружное управление образования," 111396, г.Москва, улица Союзный проспект, д.7",(495) 302-55-98, ds1551@rambler.ru,POINT(37.8075194 55.7510252)
 Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида №1764, ГБОУ детский сад №1764,1 764, Дошкольное образовательное учреждение, Детский сад компенсирующего вида, Бюджетное, Восточное окружное управление образования," 107065, город Москва, Уссурийская ул., дом 9 А",(495) 469-52-80, gou1764@mail.ru; gbou1764@mail.ru,POINT(37.819151 55.825055)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 485, ГБОУ детский сад № 485,485, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Восточное окружное управление образования," 107061, г.Москва, ул.Большая Черкизовская, д.5,корп.7",(495) 963-80-18, solnishko485@mail.ru,POINT(37.720343 55.799283)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 165, ГБОУ детский сад № 165,165, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109443, Москва, ул. Юных Ленинцев, д. 75, кор. 2",(499) 175-95-10, sadik165@mail.ru,POINT(37.7699131 55.7007561)
 Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1271, ГБОУ ЦРР - детский сад № 1271,1 271, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Южное окружное управление образования," 115573 г. Москва, ул. Мусы Джалиля, д.14, к.3",(495) 395-26-18, dou1271@sinergi.ru,POINT(37.7380661 55.6245999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 786, ГБОУ детский сад № 786,786, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Западное окружное управление образования," 121165, г.Москва, Кутузовский проспект, д. 30",(499) 249-37-56, ds786@mail.ru,POINT(37.5364363 55.741149)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 103, ГБОУ детский сад № 103,103, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Юго-Восточное окружное управление образования," 109439, г. Москва ул. Юных Ленинцев д.103 кор.2",(499) 175-52-75, doy103@mail.ru,POINT(37.7817936 55.6993091)
 Государственное бюджетное образовательное учреждение города Москвы Центр развития ребенка - детский сад № 953, ГОУ ЦРР - детский сад № 953,953, Дошкольное образовательное учреждение, Центр развития ребенка – детский сад, Бюджетное, Южное окружное управление образования," 115563 г. Москва, Борисовский пр, д.46 к.2",(495) 394-23-00, dou953@sinergi.ru; dou953@sinergi.ru,POINT(37.727629 55.61441199999999)
 Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 936, ГБОУ детский сад № 936,936, Дошкольное образовательное учреждение, Детский сад комбинированного вида, Бюджетное, Центральное окружное управление образования," 119034 г. Москва, Пречистенский пер., д. 3,",(495) 637-76-15, dskv936@mail.ru,POINT(37.5946483 55.7431917)
 Государственное бюджетное образовательное учреждение города Москвы детский сад № 1664, ГБОУ детский сад № 1664,1 664, Дошкольное образовательное учреждение, Детский сад, Бюджетное, Юго-Восточное окружное управление образования," 109559, г. Москва, улица Ставропольская, дом 72",(495) 358-07-73, ds_1664@mail.ru; ds1664@uvuo.ru; natal-krotkova@yandex.ru; PakhomovaLV@yandex.ru; nyura.ibraeva@yandex.ru,POINT(37.7748718 55.6803051)
 Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 426, ГБОУ детский сад № 426,426, Дошкольное образовательное учреждение, Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей, Бюджетное, Северное окружное управление образования," 125239, г. Москва, улица Михалковская, дом 11А",(499) 154-65-41, detsad426@yandex.ru,POINT(37.5290414 55.8377805)
