ticket_id,price,square,rooms,studio,floor,floors_total,building_year,metro,metro_dist,time_to_metro,address,keep,photo,url
12146164.0,28970000,47.0,1,False,5,8.0,2027.0,метро Добрынинская,1500.0,23.0,"Москва, Даниловский, Дубининская 59 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/16/0196606ab1d1b463f419285c6b4a96ba27eec716.jpeg,https://msk.etagi.com/realty/12146164/
12137437.0,20000000,40.0,1,False,4,22.0,2025.0,метро Народное Ополчение,600.0,9.0,"Москва, Хорошёво-Мнёвники, Демьяна Бедного 22а",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/0a/ce4cf48764e368e982d438bb5a59ac9d0e444a0a.jpeg,https://msk.etagi.com/realty/12137437/
12117088.0,53500000,95.2,4,False,20,42.0,2025.0,метро Мичуринский проспект,600.0,9.0,"Москва, Очаково-Матвеевское, Озёрная 1 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/5f/27350a71d70b552adf19aca30adebadcc8c0a15f.jpeg,https://msk.etagi.com/realty/12117088/
12115044.0,47000000,63.7,3,False,8,17.0,2025.0,метро Бауманская,500.0,8.0,"Москва, Басманный, Малая Почтовая 12",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/c5/45c665ec0665a318a93627388169fd3d348e8fc5.jpeg,https://msk.etagi.com/realty/12115044/
12106305.0,11583222,20.0,0,True,6,33.0,2025.0,станция Дегунино,900.0,14.0,"Москва, Алтуфьевский, Алтуфьевское шоссе 55 корпус 4",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/e1/440cc2c70303048cd601d705bc3605b96e1ac9e1.jpeg,https://msk.etagi.com/realty/12106305/
12184143.0,36500000,74.7,3,False,57,59.0,2028.0,метро Давыдково,1000.0,15.0,"Москва, Можайский, Верейская 29с34",Не указано,,https://msk.etagi.com/realty/12184143/
12183786.0,25000000,43.2,2,False,19,19.0,2025.0,,,,"Москва, Савёловский, Старый Петровско-Разумовский проезд 1",Не указано,,https://msk.etagi.com/realty/12183786/
,59089000,82.61,3,False,16,28.0,2025.0,метро Нагатинская,300.0,5.0,"Москва, Нагатино-Садовники, Нагатинская к2вл1",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/c8/f376f1038dc040459421a8ab0a92f493636860c8.jpeg,
12089850.0,18950000,38.7,1,False,49,53.0,2025.0,станция Трикотажная,300.0,5.0,"Москва, Покровское-Стрешнево, Волоколамское шоссе 97",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/22/0e2e326569a4cc3606a0492bea83f22a81844622.jpeg,https://msk.etagi.com/realty/12089850/
12088802.0,15800000,24.0,0,True,27,31.0,2025.0,метро Верхние Лихоборы,400.0,6.0,"Москва, Западное Дегунино, Дмитровское шоссе 75/77",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/28/8943df046d90645ff128548ec27c8d3fc4606028.jpeg,https://msk.etagi.com/realty/12088802/
12080061.0,29200000,43.0,1,False,3,21.0,2025.0,метро Терехово,700.0,11.0,"Москва, Хорошёво-Мнёвники, Нижние Мнёвники 7",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/9a/52650fbf5ee0d1ebac68bab5cf32ea874140979a.jpeg,https://msk.etagi.com/realty/12080061/
12066244.0,13900000,26.2,0,True,21,21.0,2025.0,метро Волгоградский проспект,200.0,3.0,"Москва, Южнопортовый, Новоостаповская 20 корпус 7",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/2f/7e430ab5881025e2bc5038dd68653f2c6294642f.jpeg,https://msk.etagi.com/realty/12066244/
12061092.0,24900000,59.2,2,False,5,22.0,2025.0,станция Останкино,400.0,6.0,"Москва, Марфино, Академика Королёва 23",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/20/f7aee6a13ef6fe811a55741031dca0046c979e20.jpeg,https://msk.etagi.com/realty/12061092/
12056194.0,35000000,58.0,2,False,3,15.0,2025.0,метро Нагорная,600.0,9.0,"Москва, Котловка, Ремизова 11 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/01/f812220c613f6fb9b8ed18a78ac4fc395b278001.jpeg,https://msk.etagi.com/realty/12056194/
12047476.0,46850000,79.5,2,False,2,7.0,2025.0,метро Павелецкая,700.0,11.0,"Москва, Замоскворечье, Летниковская 6 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/f2/a8e8d899f2ab1a9f6982e339094b43ca5270f6f2.jpeg,https://msk.etagi.com/realty/12047476/
12046974.0,51000000,78.0,2,False,26,51.0,2025.0,метро Мичуринский проспект,700.0,11.0,"Москва, Раменки, Василия Ланового 6 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/3b/8014e723cf9d99c7bebbee7b090e93703273b63b.jpeg,https://msk.etagi.com/realty/12046974/
