id,price,square,rooms,studio,floor,floors_total,building_year,metro,metro_dist,time_to_metro,address,keep,photo,url,location,coordinates,ndvi
1,28970000,47.00,1,false,5,8,2027,метро Добрынинская,1500.00,23.00,"Москва, Даниловский, Дубининская 59 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/16/0196606ab1d1b463f419285c6b4a96ba27eec716.jpeg,https://msk.etagi.com/realty/12146164/,0101000000895C70067FD14240331AF9BCE2DB4B40,POINT(37.636689 55.717857),0.29
2,20000000,40.00,1,false,4,22,2025,метро Народное Ополчение,600.00,9.00,"Москва, Хорошёво-Мнёвники, Демьяна Бедного 22а",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/0a/ce4cf48764e368e982d438bb5a59ac9d0e444a0a.jpeg,https://msk.etagi.com/realty/12137437/,010100000095EF1989D0BE42406094A0BFD0E34B40,POINT(37.490739 55.779808),0.582
3,53500000,95.20,4,false,20,42,2025,метро Мичуринский проспект,600.00,9.00,"Москва, Очаково-Матвеевское, Озёрная 1 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/5f/27350a71d70b552adf19aca30adebadcc8c0a15f.jpeg,https://msk.etagi.com/realty/12117088/,010100000062855B3E92BC42406EA301BC05D84B40,POINT(37.473213 55.687675),0.435
4,47000000,63.70,3,false,8,17,2025,метро Бауманская,500.00,8.00,"Москва, Басманный, Малая Почтовая 12",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/c5/45c665ec0665a318a93627388169fd3d348e8fc5.jpeg,https://msk.etagi.com/realty/12115044/,0101000000B75F3E5931D84240FEB8FDF2C9E24B40,POINT(37.689006 55.771788),0.308
5,21000000,47.60,2,false,3,37,2026,станция Нижегородская,1000.00,15.00,"Москва, Нижегородский, 3",Не указано,https://cdn.esoft.digital/content/cluster/eco_newhouses_photos/19/abf061b087db51551c23f72d500886b4d6fe2a19.jpeg,https://msk.etagi.com/realty/12103471/,0101000000EDF5EE8FF7D64240CC423BA759DE4B40,POINT(37.67943 55.737111),0.467
6,11583222,20.00,0,true,6,33,2025,станция Дегунино,900.00,14.00,"Москва, Алтуфьевский, Алтуфьевское шоссе 55 корпус 4",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/e1/440cc2c70303048cd601d705bc3605b96e1ac9e1.jpeg,https://msk.etagi.com/realty/12106305/,0101000000F1BA7EC16ECA42400FD07D39B3EF4B40,POINT(37.581505 55.872657),0.38
7,27600000,40.50,2,false,3,33,2026,метро Павелецкая,1400.00,21.00,"Москва, Даниловский, 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/03/2eaaef7f5eb090ca64037d1e315d69f94d9dea03.jpeg,https://msk.etagi.com/realty/12097976/,010100000095D5743DD1CF42409B20EA3E00DB4B40,POINT(37.623573 55.710945),0.273
8,36500000,74.70,3,false,57,59,2028,метро Давыдково,1000.00,15.00,"Москва, Можайский, Верейская 29с34",Не указано,,https://msk.etagi.com/realty/12184143/,010100000077BB5E9A22B84240AE9CBD33DADA4B40,POINT(37.438556 55.709784),0.278
9,25000000,43.20,2,false,19,19,2025,,,,"Москва, Савёловский, Старый Петровско-Разумовский проезд 1",Не указано,,https://msk.etagi.com/realty/12183786/,010100000073F1B73D41C84240EB3713D385E64B40,POINT(37.564491 55.800959),0.411
10,59089000,82.61,3,false,16,28,2025,метро Нагатинская,300.00,5.00,"Москва, Нагатино-Садовники, Нагатинская к2вл1",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/c8/f376f1038dc040459421a8ab0a92f493636860c8.jpeg,,0101000000F04DD36707D042408DCF64FF3CD74B40,POINT(37.625226 55.681549),0.289
11,73000000,120.70,3,false,8,11,2026,станция Павшино,2500.00,38.00,"Москва, Кунцево, 21",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/60/32e808c9e643325ec424eba2c91179e00781cf60.png,https://msk.etagi.com/realty/12145373/,010100000083F6EAE3A1B34240C5CBD3B9A2DE4B40,POINT(37.403378 55.739341),0.54
12,18950000,38.70,1,false,49,53,2025,станция Трикотажная,300.00,5.00,"Москва, Покровское-Стрешнево, Волоколамское шоссе 97",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/22/0e2e326569a4cc3606a0492bea83f22a81844622.jpeg,https://msk.etagi.com/realty/12089850/,0101000000DAE1AFC91AB342401DE4F56052EA4B40,POINT(37.399255 55.830639),0.257
210,14854770,38.00,1,false,5,5,2026,,,,"Мосрентген, 3",Не указано,https://cdn.esoft.digital/content/cluster/layouts26/03/2e/cb763e4120620f3fc1cfccc2e9a1498b4b5c252e.png,,01010000006649809A5ABC4240F20703CFBDCF4B40,POINT(37.471515 55.62298),0.517
13,15800000,24.00,0,true,27,31,2025,метро Верхние Лихоборы,400.00,6.00,"Москва, Западное Дегунино, Дмитровское шоссе 75/77",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/28/8943df046d90645ff128548ec27c8d3fc4606028.jpeg,https://msk.etagi.com/realty/12088802/,01010000009ED2C1FA3FC7424079758E01D9ED4B40,POINT(37.55664 55.858185),0.386
14,29200000,43.00,1,false,3,21,2025,метро Терехово,700.00,11.00,"Москва, Хорошёво-Мнёвники, Нижние Мнёвники 7",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/9a/52650fbf5ee0d1ebac68bab5cf32ea874140979a.jpeg,https://msk.etagi.com/realty/12080061/,0101000000D34CF73AA9B942402461DF4E22E04B40,POINT(37.450477 55.751047),0.402
15,12800000,28.60,0,true,6,8,2026,станция Бульвар Рокоссовского,1000.00,15.00,"Москва, Метрогородок, 6/1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/46/3462acb2c8c43c4c7636c6b407b4194fb2eb2446.png,https://msk.etagi.com/realty/12073574/,0101000000EBFCDB65BFE042402E3BC43F6CE94B40,POINT(37.755841 55.823616),0.585
16,13900000,26.20,0,true,21,21,2025,метро Волгоградский проспект,200.00,3.00,"Москва, Южнопортовый, Новоостаповская 20 корпус 7",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/2f/7e430ab5881025e2bc5038dd68653f2c6294642f.jpeg,https://msk.etagi.com/realty/12066244/,0101000000B4226AA2CFD74240C4978922A4DC4B40,POINT(37.686024 55.723759),0.219
17,24900000,59.20,2,false,5,22,2025,станция Останкино,400.00,6.00,"Москва, Марфино, Академика Королёва 23",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/20/f7aee6a13ef6fe811a55741031dca0046c979e20.jpeg,https://msk.etagi.com/realty/12061092/,010100000044FD2E6CCDCC4240889E94490DE94B40,POINT(37.600019 55.820718),0.308
18,35000000,58.00,2,false,3,15,2025,метро Нагорная,600.00,9.00,"Москва, Котловка, Ремизова 11 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/01/f812220c613f6fb9b8ed18a78ac4fc395b278001.jpeg,https://msk.etagi.com/realty/12056194/,01010000002B89EC832CCD42403065E08096D64B40,POINT(37.602921 55.676468),0.566
19,46850000,79.50,2,false,2,7,2025,метро Павелецкая,700.00,11.00,"Москва, Замоскворечье, Летниковская 6 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/f2/a8e8d899f2ab1a9f6982e339094b43ca5270f6f2.jpeg,https://msk.etagi.com/realty/12047476/,0101000000E066F16261D242409DD9AED007DD4B40,POINT(37.643597 55.726801),0.213
20,51000000,78.00,2,false,26,51,2025,метро Мичуринский проспект,700.00,11.00,"Москва, Раменки, Василия Ланового 6 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/3b/8014e723cf9d99c7bebbee7b090e93703273b63b.jpeg,https://msk.etagi.com/realty/12046974/,01010000000890A16307BD42400C957F2DAFD84B40,POINT(37.476788 55.692846),0.376
21,27000000,65.10,2,false,22,30,2025,метро Тушинская,1400.00,21.00,"Москва, Покровское-Стрешнево, Строительный проезд 9",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/93/47e8fc812687725e700ce90631cf3105ddae7f93.jpeg,https://msk.etagi.com/realty/12041833/,010100000083FB010F0CB642408EACFC3218EB4B40,POINT(37.422243 55.836676),0.45
22,21443729,53.80,2,false,16,16,2025,станция Перово,700.00,11.00,"Москва, Новогиреево, Кусковская 12/1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/2d/f023bff468ffbc2938dbcc2687faba5936812e2d.jpeg,https://msk.etagi.com/realty/12011637/,010100000086E464E256E3424088A06AF46ADE4B40,POINT(37.776089 55.737639),0.527
23,20800000,53.20,2,false,12,42,2026,станция Москворечье,1200.00,18.00,"Москва, Москворечье-Сабурово, 3",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/e4/8a6c7f2a7d58f6a32dcc43acedd5ddb46329fae4.jpeg,https://msk.etagi.com/realty/11999127/,01010000004E637B2DE8D54240601E32E543D24B40,POINT(37.671148 55.642697),0.461
24,24500000,46.30,1,false,17,57,2027,метро Беломорская,1100.00,17.00,"Москва, Левобережный, Ленинградское шоссе 57с2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/29/12872427729638f903da415693fe2ef1bc834729.jpeg,https://msk.etagi.com/realty/11998500/,010100000066C0594A96BB424087527B116DED4B40,POINT(37.465524 55.854891),0.277
25,45500000,70.30,3,false,18,32,2026,метро Павелецкая,1400.00,21.00,"Москва, Даниловский, 3",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/77/b45ff7dfd0cd442834ae1f52271c994b7efe9577.jpeg,https://msk.etagi.com/realty/11997309/,01010000004562821ABECF42400B43E4F4F5DA4B40,POINT(37.622989 55.710631),0.264
26,11780000,23.90,1,false,17,24,2025,метро Боровское шоссе,700.00,11.00,"Москва, Солнцево, Производственная 19 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/a0/394e42334f0dbc880cc865628517d0139bea01a0.jpeg,https://msk.etagi.com/realty/11994637/,01010000009581035ABAB042406B9DB81CAFD24B40,POINT(37.380687 55.645969),0.358
27,22000000,44.00,2,false,56,61,2025,метро Кожуховская,500.00,8.00,"Москва, Печатники, 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/8b/5eeb9e72d92092e4db5db7763d00de525410dc8b.jpeg,https://msk.etagi.com/realty/11993516/,01010000002E7079AC19DD4240A1A3552DE9D84B40,POINT(37.727346 55.694616),0.371
28,26000000,62.00,2,false,2,26,2025,метро Верхние Лихоборы,300.00,5.00,"Москва, Западное Дегунино, Дмитровское шоссе 73бк1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/50/e0ab1a2a1ad0b623facb5b886777c1226c4f7350.jpeg,https://msk.etagi.com/realty/11970332/,01010000004487C09140C74240D93D7958A8ED4B40,POINT(37.556658 55.8567),0.356
29,29950000,39.15,2,false,6,20,2025,станция Фили,400.00,6.00,"Москва, Филёвский Парк, к5",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/28/d8addc03d2cd377972bc3c6f29e5ac6a61d59b28.jpeg,https://msk.etagi.com/realty/11932838/,0101000000DC9E20B1DDBD4240B64DF1B8A8DE4B40,POINT(37.483328 55.739524),0.502
30,50000000,87.40,3,false,29,55,2025,станция Марьина Роща,500.00,8.00,"Москва, Марьина Роща, 4-я улица Марьиной Рощи 10 корпус 3",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/ff/fb244c3cb291c04e09795c98de466c0a712aafff.jpeg,https://msk.etagi.com/realty/11932767/,01010000005D8940F50FD04240D05E7D3CF4E54B40,POINT(37.625487 55.796516),0.36
31,16600000,46.30,2,false,32,33,2025,станция Перерва,700.00,11.00,"Москва, Люблино, 14.5",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/11/97dfacc6b78ee7094b8444248057c57f65e23211.png,https://msk.etagi.com/realty/11916096/,0101000000096B63EC84E14240793F6EBF7CD64B40,POINT(37.761869 55.675682),0.472
32,16000000,50.20,2,false,18,23,2026,,,,"Москва, Куркино, Куркинское шоссе 15",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/24/6d8152c178607fea2e8c2b0f42c32e1bd5b60824.jpeg,https://msk.etagi.com/realty/11909639/,0101000000DD41EC4CA1B342405F622CD32FF14B40,POINT(37.40336 55.884272),0.555
33,16900000,42.00,1,false,11,31,2026,станция Бульвар Рокоссовского,1100.00,17.00,"Москва, Метрогородок, Тагильская 6/1 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/c7/0f99462acf3b5e5da2caab3146e26039fe8968c7.jpeg,https://msk.etagi.com/realty/11905060/,01010000006EF8DD74CBE042409B3924B550E84B40,POINT(37.756209 55.814963),0.229
34,17300000,33.80,1,false,6,29,2025,метро Кожуховская,500.00,8.00,"Москва, Печатники, 7",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/0f/b93187d553f4147cb0de331e0ea5a66b5f17c70f.jpeg,https://msk.etagi.com/realty/11897343/,01010000002E7079AC19DD4240A1A3552DE9D84B40,POINT(37.727346 55.694616),0.371
35,28190000,37.70,0,true,8,22,2026,станция Савёловская,700.00,11.00,"Москва, Марьина Роща, Полковая 1 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/26/f6288187f6758cfe35bc7a89547938be79877e26.jpeg,https://msk.etagi.com/realty/11894600/,0101000000992EC4EA8FCC4240376E313F37E64B40,POINT(37.598142 55.798561),0.245
36,18540000,38.60,1,false,2,16,2025,метро Бунинская аллея,1100.00,17.00,"Москва, Сосенское, Бартеневская 18 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/cd/e18dc0ac5e6c3e97859eb714941ed4259d585ecd.jpeg,https://msk.etagi.com/realty/11883669/,010100000075E5B33C0FC24240E22021CA17C64B40,POINT(37.51609 55.547601),0.467
37,26500000,42.60,2,false,5,23,2026,метро Кунцевская,800.00,12.00,"Москва, Кунцево, Ивана Франко 20 корпус 2",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/99/964bada241d20ea64c0053d5829b05a19809a399.jpeg,https://msk.etagi.com/realty/11870383/,0101000000C4CE143AAFB7424055A1815836DD4B40,POINT(37.435035 55.728221),0.47
38,14500000,29.90,0,true,22,29,2025,метро Новые Черёмушки,900.00,14.00,"Москва, Черёмушки, Намёткина вл10",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/89/2b3fb2a31954823704e7b797de563281babc4589.png,https://msk.etagi.com/realty/11876523/,010100000054008C67D0C64240E63FA4DFBED44B40,POINT(37.553235 55.662075),0.357
39,8600000,20.10,0,true,4,14,2026,станция Лихоборы,500.00,8.00,"Москва, Тимирязевский, к3.5",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/24/1be23da4c383df581cd723a451cc7d29d807da24.jpeg,https://msk.etagi.com/realty/11874207/,01010000005BCEA5B8AAC64240213EB0E3BFEA4B40,POINT(37.552085 55.833981),0.546
40,28000000,53.00,1,false,16,27,2025,метро ЗИЛ,1100.00,17.00,"Москва, Даниловский, к13",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/03/7c/d88fa5a534afea3dfa3bc7277037e3d244ca527c.jpeg,https://msk.etagi.com/realty/11873951/,0101000000FEF2C98AE1D042401E8A027D22DB4B40,POINT(37.631883 55.71199),0.306
41,17900000,36.80,1,false,23,30,2025,метро Дубровка,300.00,5.00,"Москва, Южнопортовый, Новоостаповская 16 корпус 1",Не указано,https://cdn.esoft.digital/content/cluster/ecoobjects26/02/33/98f9d46c2e29502940d1460c06504af83b4e4233.jpeg,https://msk.etagi.com/realty/11860119/,010100000068CD8FBFB4D64240EE42739D46DC4B40,POINT(37.677391 55.720905),0.2
