id,Code,Name,global_id,Is net object,Operating company,Object type,Area,District,Address,Public phone,Seats amount,Presence of privileges,Longitude in WGS-84,Latitude in WGS-84,Geodata,Centroid
1,77874,Родник,637376331,нет,,кафе,Центральный административный округ,Таганский район,"город Москва, улица Талалихина, дом 2/1, корпус 1",PublicPhone:(495) 676-55-35,35,нет,37.6733061300344,55.7382386551547,"type:Point
coordinates:37.67330613,55.738238655","{type=Point, coordinates=[37.67330613, 55.738238655]}"
2,24309,Кафе «Академия»,637376349,нет,,ресторан,Центральный административный округ,Таганский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Таганский, Абельмановская улица, дом 6",PublicPhone:(495) 662-30-10,95,нет,37.6696475969381,55.7355114718314,"type:Point
coordinates:37.669647597,55.735511472","{type=Point, coordinates=[37.669647597, 55.735511472]}"
4,148815,Брусника,637376481,да,Брусника,кафе,Центральный административный округ,район Арбат,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, переулок Сивцев Вражек, дом 6/2",PublicPhone:(495) 697-04-89,10,нет,37.598089,55.747448754930645,"type:Point
coordinates:37.598089,55.747448755","{type=Point, coordinates=[37.598089, 55.747448755]}"
5,23394,Хинкальная Гогиели,637376678,нет,,кафе,Юго-Восточный административный округ,район Лефортово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 49/1",PublicPhone:(495) 361-38-50,24,нет,37.71995037885907,55.74927598927656,"type:Point
coordinates:37.719950379,55.749275989","{type=Point, coordinates=[37.719950379, 55.749275989]}"
6,22579,Алло Пицца,637376719,да,Алло Пицца,кафе,Западный административный округ,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Авиаторов, дом 14",PublicPhone:(495) 934-31-00,32,нет,37.398531000000006,55.6451027253736,"type:Point
coordinates:37.398531,55.645102725","{type=Point, coordinates=[37.398531, 55.645102725]}"
12,22767,Мархал,637377767,нет,,кафе,Северный административный округ,район Западное Дегунино,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Западное Дегунино, Ангарская улица, дом 1, корпус 2",PublicPhone:(499) 906-00-59,120,нет,37.50979918389434,55.87179217383281,"type:Point
coordinates:37.509799184,55.871792174","{type=Point, coordinates=[37.509799184, 55.871792174]}"
13,24387,КАФЕ ГОТИКА,637377794,да,Готика,ресторан,Северный административный округ,Дмитровский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дмитровский, Ангарская улица, дом 39",PublicPhone:(925) 740-08-46,40,да,37.52471797165986,55.87914668476335,"type:Point
coordinates:37.524717972,55.879146685","{type=Point, coordinates=[37.524717972, 55.879146685]}"
83,22605,Бирхаус,637388626,нет,,кафе,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 12, строение 7",PublicPhone:(495) 506-07-91,56,нет,37.6085926679442,55.764219484149294,"type:Point
coordinates:37.608592668,55.764219484","{type=Point, coordinates=[37.608592668, 55.764219484]}"
15,69243,Суши Wok,637377924,да,Суши Wok,кафе,Южный административный округ,район Нагатино-Садовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, проспект Андропова, дом 30",PublicPhone:(499) 754-44-44,4,нет,37.662706040007905,55.6788166451702,"type:Point
coordinates:37.66270604,55.678816645","{type=Point, coordinates=[37.66270604, 55.678816645]}"
16,127979,Месопотамия,637378082,нет,,ресторан,Центральный административный округ,район Арбат,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Арбат, улица Арбат, дом 4, строение 1",PublicPhone:(495) 913-32-12,38,нет,37.59886900000001,55.75209675627938,"type:Point
coordinates:37.598869,55.752096756","{type=Point, coordinates=[37.598869, 55.752096756]}"
