Category,FullName,ShortName,address,geometry
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 6 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 6 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дмитровский, Дмитровское шоссе, дом 107Г",POINT(37.54088018 55.878270841)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 46 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 46 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Таможенный проезд, дом 3, строение 1",POINT(37.682286593 55.751888047)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника «Троицкая» Департамента здравоохранения города Москвы»,ГБУЗ Поликлиника «Троицкая» ДЗМ,"Российская Федерация, город Москва, внутригородская территория городской округ Троицк, город Троицк, Юбилейная улица, дом 5",POINT(37.3001012 55.472732847)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 6 филиал № 5 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 6 филиал № 5 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, улица Юннатов, дом 12",POINT(37.560920426 55.800834415)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 23 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 23 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Некрасовка, 1-я Вольская улица, дом 3, корпус 1",POINT(37.916886732 55.683607375)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 45 филиал № 6 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 45 филиал № 6 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Молжаниновский, Синявинская улица, дом 1Б",POINT(37.351276958 55.946996144)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностическая поликлиника № 121 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ КДП № 121 филиал № 4 ДЗМ,"город Москва, Изюмская улица, дом 37",POINT(37.56817344 55.550613009)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 170 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 170 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Южное, улица Подольских Курсантов, дом 2, корпус 2",POINT(37.608759373 55.606066993)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 6 филиал № 8 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 6 филиал № 8 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северный, Дмитровское шоссе, дом 165Д, корпус 7",POINT(37.541341097 55.923912715)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 5 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 5 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Красносельский, Даев переулок, дом 3, строение 1",POINT(37.634128272 55.770826006)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 209 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 209 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мосфильмовская улица, дом 29А",POINT(37.513490763 55.712271573)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 218 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 218 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Медведково, Полярная улица, дом 28",POINT(37.640395231 55.881832944)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 175 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 175 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, Сиреневый бульвар, дом 8",POINT(37.778444673 55.802000922)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 12 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 12 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марфино, улица Академика Комарова, дом 5, корпус 1",POINT(37.595238227 55.829696683)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Поликлиника г. Московский филиал № 6 Департамента здравоохранения города Москвы»,ГБУЗ Поликлиника г. Московский филиал № 6 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Внуково, дачный посёлок Кокошкино, улица Дзержинского, дом 7",POINT(37.168699869 55.60408558)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 134 филиал № 4 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 134 филиал № 4 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ясенево, Новоясеневский проспект, дом 30, корпус 2",POINT(37.535427654 55.603786186)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Научно-практический психоневрологический центр им. З.П. Соловьева филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ НПЦ им. З.П. Соловьева филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Покровское-Стрешнево, Волоколамское шоссе, дом 47, строение 5",POINT(37.465214773 55.81312448)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 214 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 214 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, Ореховый бульвар, дом 35, корпус 2",POINT(37.735353192 55.61649896)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Городская поликлиника № 220 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ГП № 220 филиал № 1 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Пресненский, Шмитовский проезд, дом 25, строение 1",POINT(37.542939909 55.75625382)
Поликлиника взрослая,Государственное бюджетное учреждение здравоохранения города Москвы «Консультативно-диагностический центр № 2 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ КДЦ № 2 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 24, корпус 9",POINT(37.755901059 55.822737861)
