category,fullname,shortname,address,location
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 48 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 48 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, улица Артюхиной, дом 27, корпус 3",POINT(37.74188144 55.694081483)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 110 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 110 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, улица Яблочкова, дом 3А, строение 1",POINT(37.579720035 55.814071213)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 131 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 131 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мосфильмовская улица, дом 27А",POINT(37.514133891 55.712573334)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 91 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 91 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Лестева, дом 5",POINT(37.617093435 55.714439742)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 150 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 150 филиал № 3 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Новомарьинская улица, дом 3",POINT(37.74702014 55.651710188)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 61 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 61 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южнопортовый, улица Крутицкий Вал, дом 3",POINT(37.66475943 55.729622049)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 122 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 122 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Гольяново, Байкальская улица, дом 28",POINT(37.802977987 55.816576302)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 125 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 125 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Новгородская улица, дом 23А",POINT(37.577723351 55.901862208)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 150 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 150 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, Цимлянская улица, дом 22",POINT(37.769740489 55.670141578)
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 48 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 48 филиал № 2 ДЗМ,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Есенинский бульвар, дом 12, корпус 1",POINT(37.776995007 55.701673799)
